Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Location
47.6424066868121,-122.310081020631,Montlake Playfield,,Parks,1618 E Calhoun St,http://www.seattle.gov/parks/park_detail.asp?ID=376,"(47.6424066868121, -122.310081020631)"
47.6027234663951,-122.29060161753,Peppi'S Playground,,Parks,3233 E Spruce St,http://www.seattle.gov/parks/park_detail.asp?ID=378,"(47.6027234663951, -122.29060161753)"
47.6426009492446,-122.325256868431,Rogers Playground,,Parks,Eastlake Ave E and E Roanoke St,http://www.seattle.gov/parks/park_detail.asp?ID=380,"(47.6426009492446, -122.325256868431)"
47.7164362240396,-122.314628211158,Pinehurst Playground,,Parks,12029 14th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=382,"(47.7164362240396, -122.314628211158)"
47.6971318737822,-122.308131595437,Sacajawea Playground,,Parks,1726 NE 94th St,http://www.seattle.gov/parks/park_detail.asp?ID=394,"(47.6971318737822, -122.308131595437)"
47.5862263145601,-122.315324628371,Beacon Hill Playground,,Parks,1902 13th Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=400,"(47.5862263145601, -122.315324628371)"
47.548387353425,-122.282099579571,Brighton Playfield,,Parks,6000 39th Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=402,"(47.548387353425, -122.282099579571)"
47.5362144800422,-122.278104890608,Othello Playground,,Parks,4351 S Othello St,http://www.seattle.gov/parks/park_detail.asp?ID=403,"(47.5362144800422, -122.278104890608)"
47.5520115483017,-122.315542025326,Cleveland Playfield,,Parks,S Lucile St and 13th Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=404,"(47.5520115483017, -122.315542025326)"
47.587625380775,-122.301957035525,Colman Playground,,Parks,1740 23rd Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=406,"(47.587625380775, -122.301957035525)"
47.5516197319685,-122.321395622454,Georgetown Playfield,,Parks,750 S Homer St,http://www.seattle.gov/parks/park_detail.asp?ID=410,"(47.5516197319685, -122.321395622454)"
47.5588308046035,-122.270059558155,Lakewood Plaground,,Parks,5013 S Angeline St,http://www.seattle.gov/parks/park_detail.asp?ID=414,"(47.5588308046035, -122.270059558155)"
47.5600408806488,-122.31884514896,Maple Wood Playfield,,Parks,4801 Corson Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=418,"(47.5600408806488, -122.31884514896)"
47.5250409543704,-122.273135760829,Rainer Beach Playfield,,Parks,8802 Rainier Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=422,"(47.5250409543704, -122.273135760829)"
47.5618173265164,-122.286200070963,Rainier Playfield,,Parks,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,"(47.5618173265164, -122.286200070963)"
47.5394460989017,-122.294067595442,Van Asselt Playground,,Parks,7200 Beacon Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=431,"(47.5394460989017, -122.294067595442)"
47.6644474051006,-122.319312327795,University Playground,,Parks,9th Ave NE and NE 50th St.,http://www.seattle.gov/parks/park_detail.asp?ID=435,"(47.6644474051006, -122.319312327795)"
47.5189982440007,-122.284294216374,Benefit Playground,,Parks,9320 38th Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=436,"(47.5189982440007, -122.284294216374)"
47.7056715231328,-122.307833800029,Victory Heights Playground,,Parks,1737 NE 106th St,http://www.seattle.gov/parks/park_detail.asp?ID=438,"(47.7056715231328, -122.307833800029)"
47.5143120790222,-122.26006214919,Hutchinson Playground,,Parks,S Norfolk St and 59th Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=439,"(47.5143120790222, -122.26006214919)"
47.5784972617799,-122.40731233767,Alki Playground,,Parks,5817 SW Lander St,http://www.seattle.gov/parks/park_detail.asp?ID=446,"(47.5784972617799, -122.40731233767)"
47.6585444344469,-122.33744372477,Wallingford Playfield,,Parks,4219 Wallingford Ave N,http://www.seattle.gov/parks/park_detail.asp?ID=449,"(47.6585444344469, -122.33744372477)"
47.5628424487087,-122.364370690361,Delridge Playfield,,Parks,4458 Delridge Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=450,"(47.5628424487087, -122.364370690361)"
47.5540408122029,-122.3805488504,Fairmount Playground,,Parks,5400 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=452,"(47.5540408122029, -122.3805488504)"
47.5907475150499,-122.389069703111,Hamilton Viewpoint,,Parks,1531 California Wy SW,http://www.seattle.gov/parks/park_detail.asp?ID=454,"(47.5907475150499, -122.389069703111)"
